acres92,stratum
683533,acres82Q3
47146,acres82Q2
141338,acres82Q2
210,acres82Q1
50810,acres82Q1
107259,acres82Q2
167832,acres82Q2
177189,acres82Q2
48022,acres82Q1
137426,acres82Q2
144799,acres82Q2
96427,acres82Q2
73841,acres82Q1
109555,acres82Q2
121504,acres82Q2
99466,acres82Q2
67950,acres82Q2
61426,acres82Q2
68478,acres82Q1
47200,acres82Q1
175209,acres82Q2
138135,acres82Q2
82466,acres82Q2
40832,acres82Q1
166490,acres82Q2
111315,acres82Q2
196859,acres82Q2
134555,acres82Q2
233422,acres82Q2
210733,acres82Q2
104364,acres82Q2
85872,acres82Q2
85821,acres82Q2
64755,acres82Q1
130063,acres82Q2
195536,acres82Q2
128357,acres82Q2
167583,acres82Q2
166949,acres82Q2
191810,acres82Q2
204487,acres82Q2
35748,acres82Q1
56102,acres82Q1
201892,acres82Q2
173468,acres82Q2
67962,acres82Q2
207226,acres82Q2
199714,acres82Q2
138437,acres82Q2
224370,acres82Q2
199117,acres82Q2
89228,acres82Q2
142873,acres82Q2
104342,acres82Q2
110066,acres82Q2
231243,acres82Q2
155914,acres82Q2
144193,acres82Q2
106206,acres82Q2
179319,acres82Q2
96435,acres82Q2
112620,acres82Q2
78176,acres82Q1
71697,acres82Q1
167923,acres82Q2
104199,acres82Q2
78889,acres82Q1
96194,acres82Q2
50257,acres82Q1
85086,acres82Q1
141260,acres82Q2
56680,acres82Q1
411473,acres82Q3
151325,acres82Q2
92708,acres82Q2
293745,acres82Q2
250819,acres82Q2
30196,acres82Q1
18818,acres82Q1
246184,acres82Q2
269122,acres82Q2
98919,acres82Q2
313573,acres82Q2
108046,acres82Q2
34115,acres82Q1
57253,acres82Q1
167572,acres82Q2
350402,acres82Q2
145744,acres82Q2
326808,acres82Q2
324539,acres82Q2
20589,acres82Q1
262021,acres82Q2
110260,acres82Q2
210692,acres82Q2
168755,acres82Q2
223889,acres82Q2
42794,acres82Q1
37606,acres82Q1
251710,acres82Q2
168848,acres82Q2
78498,acres82Q1
105721,acres82Q2
263182,acres82Q2
183895,acres82Q2
367969,acres82Q2
281864,acres82Q2
108913,acres82Q2
107841,acres82Q2
281895,acres82Q2
298547,acres82Q2
186685,acres82Q2
143104,acres82Q2
186829,acres82Q2
382714,acres82Q3
268075,acres82Q2
142856,acres82Q2
173861,acres82Q2
484751,acres82Q3
219444,acres82Q2
79803,acres82Q1
69422,acres82Q1
102560,acres82Q2
32003,acres82Q1
67044,acres82Q1
357416,acres82Q2
70872,acres82Q1
404585,acres82Q3
122871,acres82Q2
156363,acres82Q2
313232,acres82Q2
111895,acres82Q2
253948,acres82Q2
305401,acres82Q2
45609,acres82Q1
114762,acres82Q2
195510,acres82Q2
115019,acres82Q2
131353,acres82Q2
159013,acres82Q2
136309,acres82Q2
31190,acres82Q1
119930,acres82Q2
352322,acres82Q2
358904,acres82Q3
274843,acres82Q2
190363,acres82Q2
5785707,acres82Q4
1891644,acres82Q4
5989961,acres82Q4
1151284,acres82Q4
1846497,acres82Q4
137834,acres82Q2
246038,acres82Q1
729947,acres82Q4
1981938,acres82Q4
7229585,acres82Q4
3472248,acres82Q4
1902452,acres82Q4
334284,acres82Q3
2108834,acres82Q4
229365,acres82Q3
286288,acres82Q2
4768,acres82Q1
236222,acres82Q2
452347,acres82Q3
246077,acres82Q2
450236,acres82Q3
163036,acres82Q2
12594,acres82Q1
102028,acres82Q2
1774664,acres82Q4
473920,acres82Q3
597766,acres82Q3
532866,acres82Q3
247550,acres82Q2
2839531,acres82Q4
775829,acres82Q3
164130,acres82Q2
487499,acres82Q3
183569,acres82Q2
749465,acres82Q3
168879,acres82Q2
206138,acres82Q2
725118,acres82Q3
978831,acres82Q4
686876,acres82Q3
103294,acres82Q1
1372778,acres82Q4
235290,acres82Q2
72471,acres82Q1
60740,acres82Q2
137723,acres82Q2
119514,acres82Q2
423602,acres82Q3
379044,acres82Q3
600073,acres82Q3
1287057,acres82Q4
517860,acres82Q3
7,acres82Q1
783715,acres82Q3
1324403,acres82Q4
57418,acres82Q1
836989,acres82Q3
342653,acres82Q2
52905,acres82Q1
388084,acres82Q3
55446,acres82Q1
647446,acres82Q3
340328,acres82Q2
517114,acres82Q3
759649,acres82Q3
318156,acres82Q2
1016851,acres82Q4
116083,acres82Q2
1354262,acres82Q4
137530,acres82Q2
320597,acres82Q2
518907,acres82Q3
234781,acres82Q2
685813,acres82Q3
207448,acres82Q2
322823,acres82Q2
155465,acres82Q2
1257229,acres82Q4
796892,acres82Q3
157493,acres82Q2
84172,acres82Q2
914094,acres82Q3
7129,acres82Q1
304592,acres82Q2
330826,acres82Q2
423785,acres82Q3
156801,acres82Q2
260728,acres82Q2
167106,acres82Q2
231364,acres82Q2
213004,acres82Q2
1105614,acres82Q3
857404,acres82Q3
331639,acres82Q2
440581,acres82Q3
13296,acres82Q1
299142,acres82Q2
177333,acres82Q2
9021,acres82Q1
641755,acres82Q3
472018,acres82Q3
103470,acres82Q2
878447,acres82Q3
1341738,acres82Q4
14411,acres82Q1
587339,acres82Q3
540412,acres82Q3
2286947,acres82Q4
1660146,acres82Q4
1066453,acres82Q4
420233,acres82Q3
15539,acres82Q1
1159813,acres82Q4
834018,acres82Q3
447412,acres82Q3
751517,acres82Q3
633279,acres82Q3
119287,acres82Q2
388902,acres82Q3
459659,acres82Q3
32072,acres82Q1
1004360,acres82Q3
896994,acres82Q3
546538,acres82Q3
219612,acres82Q2
576397,acres82Q3
462086,acres82Q3
200674,acres82Q2
310394,acres82Q2
38467,acres82Q1
104010,acres82Q1
1333577,acres82Q4
2086292,acres82Q4
1433111,acres82Q4
9975,acres82Q1
56510,acres82Q1
86581,acres82Q2
19830,acres82Q1
25882,acres82Q1
65987,acres82Q1
38715,acres82Q1
55263,acres82Q1
197375,acres82Q2
87134,acres82Q2
304680,acres82Q2
191140,acres82Q2
24489,acres82Q1
9135,acres82Q1
36230,acres82Q1
199724,acres82Q2
23735,acres82Q1
43314,acres82Q1
227202,acres82Q2
70672,acres82Q1
86026,acres82Q2
301977,acres82Q2
96968,acres82Q2
83681,acres82Q1
334623,acres82Q2
31693,acres82Q2
40039,acres82Q1
57179,acres82Q1
52259,acres82Q2
57853,acres82Q1
70987,acres82Q1
369965,acres82Q3
14203,acres82Q1
69405,acres82Q1
327611,acres82Q2
529835,acres82Q3
61019,acres82Q1
483835,acres82Q3
265443,acres82Q2
86706,acres82Q2
174673,acres82Q2
244185,acres82Q2
118352,acres82Q2
95833,acres82Q1
199098,acres82Q2
106721,acres82Q2
100764,acres82Q2
190553,acres82Q2
11738,acres82Q1
132208,acres82Q2
299699,acres82Q2
296242,acres82Q2
190788,acres82Q2
44962,acres82Q1
56704,acres82Q1
351885,acres82Q3
138418,acres82Q2
716542,acres82Q3
637934,acres82Q3
221232,acres82Q2
4123,acres82Q1
611336,acres82Q3
105621,acres82Q2
48839,acres82Q1
300622,acres82Q2
79270,acres82Q1
151242,acres82Q2
59642,acres82Q1
253330,acres82Q2
161936,acres82Q2
48280,acres82Q1
138208,acres82Q2
8679,acres82Q1
96730,acres82Q2
45214,acres82Q1
105538,acres82Q2
77659,acres82Q1
78739,acres82Q1
108840,acres82Q2
32976,acres82Q1
49397,acres82Q1
35851,acres82Q1
85075,acres82Q2
47071,acres82Q1
129216,acres82Q2
17105,acres82Q1
62983,acres82Q1
27561,acres82Q1
168861,acres82Q2
15948,acres82Q1
213943,acres82Q2
166511,acres82Q2
29213,acres82Q1
113861,acres82Q2
17944,acres82Q1
57074,acres82Q1
82549,acres82Q1
29451,acres82Q1
21697,acres82Q1
8518,acres82Q1
5901,acres82Q1
52651,acres82Q1
33641,acres82Q1
11559,acres82Q1
42678,acres82Q1
4519,acres82Q1
13563,acres82Q1
10192,acres82Q1
178861,acres82Q2
198184,acres82Q2
26984,acres82Q1
72636,acres82Q1
41972,acres82Q1
37973,acres82Q1
109923,acres82Q2
25802,acres82Q1
19060,acres82Q1
168593,acres82Q2
3046,acres82Q1
97215,acres82Q2
156805,acres82Q2
71135,acres82Q2
8151,acres82Q1
184137,acres82Q2
16362,acres82Q1
43775,acres82Q1
54233,acres82Q1
123702,acres82Q2
40608,acres82Q1
15577,acres82Q1
22212,acres82Q1
73659,acres82Q1
36260,acres82Q1
74641,acres82Q1
21975,acres82Q1
25376,acres82Q1
28535,acres82Q1
9681,acres82Q1
73869,acres82Q1
137637,acres82Q2
46748,acres82Q1
24239,acres82Q1
36074,acres82Q1
53944,acres82Q1
35387,acres82Q1
31529,acres82Q1
31037,acres82Q1
58529,acres82Q1
24242,acres82Q1
45624,acres82Q1
73417,acres82Q2
135247,acres82Q2
83074,acres82Q1
60811,acres82Q1
72626,acres82Q2
136082,acres82Q2
77532,acres82Q2
71379,acres82Q1
31394,acres82Q1
39712,acres82Q1
40955,acres82Q1
168051,acres82Q2
104768,acres82Q2
15583,acres82Q1
32657,acres82Q1
11969,acres82Q1
73023,acres82Q2
23284,acres82Q1
33785,acres82Q1
8003,acres82Q1
120839,acres82Q2
61757,acres82Q1
45448,acres82Q1
68729,acres82Q1
121588,acres82Q2
205573,acres82Q2
44599,acres82Q1
64901,acres82Q1
93061,acres82Q2
32950,acres82Q1
4870,acres82Q1
45845,acres82Q1
