"county","state","acres92","acres87","acres82","farms92","farms87","farms82","largef92","largef87","largef82","smallf92","smallf87","smallf82","region","stratum"
"CHICKASAW COUNTY","IA",274905,276216,289542,1007,1054,1180,36,22,33,82,73,103,"NC","NC"
"CLAYTON COUNTY","IA",456954,450742,447361,1617,1705,1725,35,28,31,80,116,78,"NC","NC"
"HARDIN COUNTY","IA",332358,337990,355823,986,1065,1208,56,36,42,90,115,132,"NC","NC"
"HOWARD COUNTY","IA",260781,269285,278861,881,938,1055,40,33,30,68,64,70,"NC","NC"
"IDA COUNTY","IA",272831,260103,259676,729,787,874,48,30,10,54,58,59,"NC","NC"
"LEE COUNTY","IA",266083,266090,266741,872,989,1060,42,37,32,44,47,54,"NC","NC"
"MONONA COUNTY","IA",392835,377030,378621,822,854,933,104,93,71,59,50,53,"NC","NC"
"POLK COUNTY","IA",229818,238256,247261,832,1001,1110,48,48,39,70,108,100,"NC","NC"
"WORTH COUNTY","IA",224632,221678,234314,642,667,798,44,23,21,58,53,67,"NC","NC"
"CRAWFORD COUNTY","IL",223561,220146,225541,543,595,726,66,48,48,23,26,33,"NC","NC"
"JASPER COUNTY","IL",258014,262198,264796,772,894,1017,41,30,22,41,41,43,"NC","NC"
"LIVINGSTON COUNTY","IL",637551,647786,627653,1562,1760,1835,119,89,62,91,95,81,"NC","NC"
"MACON COUNTY","IL",310518,328783,325152,771,850,916,94,74,60,71,55,64,"NC","NC"
"MASON COUNTY","IL",282222,300471,305031,489,581,672,77,78,73,19,25,35,"NC","NC"
"MONTGOMERY COUNTY","IL",371936,373244,382694,1104,1246,1398,64,56,41,54,59,84,"NC","NC"
"GIBSON COUNTY","IN",241049,248054,234332,720,846,895,67,56,41,43,68,70,"NC","NC"
"JEFFERSON COUNTY","IN",130826,137233,141757,914,962,1055,12,13,9,96,95,116,"NC","NC"
"PIKE COUNTY","IN",85366,98958,96821,309,382,413,12,14,11,14,24,13,"NC","NC"
"WABASH COUNTY","IN",197947,202566,207924,810,865,939,37,26,25,85,70,66,"NC","NC"
"DECATUR COUNTY","KS",526064,543466,535067,439,486,516,188,217,211,26,22,30,"NC","NC"
"DICKINSON COUNTY","KS",514436,513946,527451,941,1028,1149,158,151,121,53,68,69,"NC","NC"
"GEARY COUNTY","KS",164081,170339,156662,246,295,299,61,58,54,11,23,24,"NC","NC"
"RENO COUNTY","KS",700869,717764,701435,1367,1557,1638,232,217,208,74,99,123,"NC","NC"
"TREGO COUNTY","KS",484093,480159,499771,465,482,497,185,171,186,11,31,21,"NC","NC"
"WYANDOTTE COUNTY","KS",22553,23936,25337,171,199,216,4,5,5,23,25,22,"NC","NC"
"IONIA COUNTY","MI",254793,253500,242776,1007,1089,1187,39,30,22,36,55,51,"NC","NC"
"LIVINGSTON COUNTY","MI",118764,128511,137918,683,789,884,19,21,17,50,44,52,"NC","NC"
"PRESQUE ISLE COUNTY","MI",79921,81681,88025,278,293,335,6,11,8,5,4,8,"NC","NC"
"KANDIYOHI COUNTY","MN",360500,377392,397278,1113,1219,1419,69,65,48,73,79,73,"NC","NC"
"OLMSTED COUNTY","MN",305831,318748,330401,1270,1446,1532,37,26,31,85,96,79,"NC","NC"
"ROSEAU COUNTY","MN",536299,613736,633669,891,1124,1213,143,162,137,11,30,24,"NC","NC"
"STEVENS COUNTY","MN",286337,295499,317555,538,619,701,78,74,58,35,48,34,"NC","NC"
"AUDRAIN COUNTY","MO",377059,399154,415307,1035,1119,1256,85,82,75,53,69,55,"NC","NC"
"BARTON COUNTY","MO",311161,331416,332055,864,946,978,60,63,56,24,52,36,"NC","NC"
"BOLLINGER COUNTY","MO",197530,193547,210806,786,860,994,33,19,22,18,33,25,"NC","NC"
"LAFAYETTE COUNTY","MO",356164,352054,357017,1312,1465,1599,70,52,43,80,90,93,"NC","NC"
"PLATTE COUNTY","MO",188595,194373,199273,704,794,891,44,36,34,45,66,74,"NC","NC"
"BILLINGS COUNTY","ND",818893,799317,745982,242,267,257,130,141,137,11,15,15,"NC","NC"
"ANTELOPE COUNTY","NE",489384,508511,503241,891,1009,1042,138,128,115,64,83,71,"NC","NC"
"FILLMORE COUNTY","NE",340471,359590,356257,637,779,765,92,76,70,32,64,38,"NC","NC"
"HOLT COUNTY","NE",1387740,1415617,1347215,1265,1393,1269,418,412,390,84,151,109,"NC","NC"
"LOGAN COUNTY","NE",335820,361679,339160,133,147,152,53,64,58,10,17,12,"NC","NC"
"POLK COUNTY","NE",250086,264867,263324,625,736,727,44,42,25,45,62,27,"NC","NC"
