STRATUM,ADM_STATE,STATE,TRUCKTYPE,TABTRUCKS,HB_STATE,BODYTYPE,ADM_MODELYEAR,VIUS_GVW,MILES_ANNL,MILES_LIFE,MPG,OPCLASS,OPCLASS_MTR,OPCLASS_OWN,OPCLASS_PSL,OPCLASS_PVT,OPCLASS_RNT,TRANSMSSN, TRIP_PRIMARY,TRIP0_50,TRIP051_100,TRIP101_200,TRIP201_500,TRIP500MORE, ADM_MAKE,BUSINESS
11,01,AL,1,3625.7683,AL,01,07,01,25000,104875,17,1,0,0,10,90,0,1,5,30,20,0,50,0,01,14
11,01,AL,1,3625.7683,AL,01,16,01,500,115000,.,5,0,0,100,0,0,1,2,100,0,0,0,0,03, 
11,01,AL,1,3625.7683,AL,01,05,02,10000,45000,14.8,5,0,0,50,50,0,1,2,50,20,25,5,0,04, 
11,01,AL,1,3625.7683,AL,01,03,01,40000,97000,18,1,0,0,1,99,0,1,2,50,50,0,0,0,01,10
11,01,AL,1,3625.7683,AL,01,16,01,365,136000,15,1,0,0,0,100,0,1,2,100,0,0,0,0,01,14
11,01,AL,1,3625.7683,AL,01,05,01,20000,77000,19,1,0,0,0,100,0,2,2,99,1,0,0,0,04,14
11,01,AL,1,3625.7683, ,01,17,01,1000,70000,.,5,0,0,100,0,0,2,2,100,0,0,0,0,13, 
11,01,AL,1,3625.7683,AL,01,04,04,15000,45000,13.2,5,0,0,100,0,0,1,1,20,20,0,0,0,06, 
11,01,AL,1,3625.7683, ,01,16,02,2000,57000,20,5,0,0,100,0,0,1,7,.,.,.,.,.,03, 
11,01,AL,1,3625.7683,AL,01,06,02,7600,44427,13,5,0,0,100,0,0,1,2,90,7,3,0,0,04, 
11,01,AL,1,3625.7683,AL,01,15,01,2000,215000,17.5,5,0,0,100,0,0,2,2,100,0,0,0,0,04, 
11,01,AL,1,3625.7683,AL,01,05,01,18304,128202,16,5,0,0,100,0,0,1,2,95,0,0,5,0,03, 
11,01,AL,1,3625.7683,AL,01,13,03,1500,87000,8,5,0,0,100,0,0,1,2,100,0,0,0,0,06, 
11,01,AL,1,3625.7683,AL,01,17,02,2102,138601,14,5,0,0,100,0,0,1,1,50,0,0,0,0,06, 
11,01,AL,1,3625.7683,AL,01,17,01,3403,188203,20,5,0,0,100,0,0,2,2,100,0,0,0,0,03, 
11,01,AL,1,3625.7683,AL,01,11,01,18000,188500,15,5,0,0,100,0,0,1,2,90,6,2,2,0,01, 
11,01,AL,1,3625.7683,AL,01,04,01,20000,81206,19,5,0,0,100,0,0,1,2,60,10,10,5,5,01, 
11,01,AL,1,3625.7683,AL,01,10,01,101000,136000,20,5,0,0,100,0,0,2,2,97,3,0,0,0,15, 
11,01,AL,1,3625.7683,AL,01,17,01,3000,88000,10,5,0,0,100,0,0,1,2,100,0,0,0,0,04, 
11,01,AL,1,3625.7683,AL,01,09,01,25000,190000,18,5,0,0,100,0,0,2,2,60,25,15,0,0,04, 
11,01,AL,1,3625.7683,AL,01,17,01,100,213297,15,5,0,0,100,0,0,2,2,100,0,0,0,0,04, 
11,01,AL,1,3625.7683, ,01,02,01,30000,46000,16,5,0,0,80,20,0,1,7,.,.,.,.,.,01, 
11,01,AL,1,3625.7683, ,01,06,01,15000,50000,20,5,0,0,100,0,0,1,7,.,.,.,.,.,04, 
11,01,AL,1,3625.7683, ,01,10,03,21698,146509,.,5,0,0,100,0,0, ,7,.,.,.,.,.,01, 
11,01,AL,1,3625.7683, ,01,14,01,0,133475,.,6,.,.,.,.,.,2,8,.,.,.,.,.,04, 
11,01,AL,1,3625.7683, ,01,17,01,20000,200000,10,5,0,0,100,0,0,1,2,100,0,0,0,0,01, 
11,01,AL,1,3625.7683,AL,01,17,01,2000,150907,14,5,0,0,100,0,0,1,2,100,0,0,0,0,01, 
11,01,AL,1,3625.7683, ,01,09,03,6250,50000,17.5,5,0,0,100,0,0,1,3,0,100,0,0,0,01, 
11,01,AL,1,3625.7683, ,01,17,02,667,132134,.,5,0,0,100,0,0, ,7,.,.,.,.,.,03, 
11,01,AL,1,3625.7683, ,01,13,01,8515,109118,16,5,0,0,100,0,0,1,2,70,30,0,0,0,04, 
11,01,AL,1,3625.7683, ,01,08,01,12900,125513,.,5,0,0,100,0,0,2,7,.,.,.,.,.,04, 
11,01,AL,1,3625.7683,AL,01,04,01,15000,63000,14,5,0,0,60,40,0,1,2,75,25,0,0,0,04, 
11,01,AL,1,3625.7683,AL,01,15,01,3000,98000,18,5,0,0,100,0,0,2,2,100,0,0,0,0,13, 
11,01,AL,1,3625.7683,AL,01,07,01,13000,90000,14,5,0,0,100,0,0,1,2,90,10,0,0,0,06, 
11,01,AL,1,3625.7683,AL,01,17,01,1000,130190,12,5,0,0,100,0,0,1,2,100,0,0,0,0,03, 
11,01,AL,1,3625.7683,AL,01,17,01,4781,149300,.,5,0,0,100,0,0,1,2,100,0,0,0,0,06, 
11,01,AL,1,3625.7683, ,01,02,01,15821,41592,12,1,0,0,10,90,0,1,2,80,20,0,0,0,01,06
11,01,AL,1,3625.7683,AL,01,08,02,20000,179435,15,1,0,0,0,100,0,1,2,90,0,10,0,0,01,06
11,01,AL,1,3625.7683,AL,01,08,01,15000,158000,22,5,0,0,100,0,0,2,2,80,10,5,5,0,06, 
11,01,AL,1,3625.7683, ,01,17,01,0,152600,.,6,.,.,.,.,.,2,8,.,.,.,.,.,01, 
11,01,AL,1,3625.7683,AL,01,09,01,16819,132644,.,5,0,0,100,0,0,1,7,.,.,.,.,.,04, 
11,01,AL,1,3625.7683,AL,01,12,01,3000,30000,20,5,0,0,100,0,0, ,2,60,10,5,15,10,01, 
11,01,AL,1,3625.7683,AL,01,06,01,10127,66153,17.5,5,0,0,100,0,0,1,2,85,10,5,0,0,04, 
11,01,AL,1,3625.7683,AL,01,10,01,15000,152000,15,5,0,0,100,0,0,1,2,95,5,0,0,0,06, 
11,01,AL,1,3625.7683,AL,01,06,01,100000,333054,17,1,0,0,0,100,0,1,2,50,50,0,0,0,01,08
11,01,AL,1,3625.7683,AL,01,16,01,2023,176023,20,5,0,0,100,0,0,2,2,100,0,0,0,0,18, 
11,01,AL,1,3625.7683,AL,01,06,01,18882,169441,20,5,0,0,100,0,0,1,7,.,.,.,.,.,01, 
11,01,AL,1,3625.7683,AL,01,17,01,1000,110000,15,5,0,0,100,0,0,1,2,100,0,0,0,0,01, 
11,01,AL,1,3625.7683,AL,01,01,01,300,36000,22,5,0,0,100,0,0,2,2,70,10,10,5,5,18, 
11,01,AL,1,3625.7683,AL,01,08,02,2000,33887,12,1,0,0,50,50,0,1,2,90,10,0,0,0,01,03
11,01,AL,1,3625.7683,AL,01,17,01,7333,129267,.,5,0,0,100,0,0,1,7,.,.,.,.,.,04, 
11,01,AL,1,3625.7683,AL,01,07,02,10000,99518,14.5,5,0,0,100,0,0,1,2,100,0,0,0,0,01, 
11,01,AL,1,3625.7683, ,01,17,01,0,149300,.,6,.,.,.,.,.,1,8,.,.,.,.,.,04, 
11,01,AL,1,3625.7683,AL,01,09,01,20000,120000,16.1,5,0,0,100,0,0,1,7,.,.,.,.,.,03, 
11,01,AL,1,3625.7683, ,01,05,01,17240,84347,.,5,0,0,100,0,0, ,7,.,.,.,.,.,03, 
